ta_abbr,tech_area,iso3,country,priority
p1,"National legislation, Policy and Financing",GIN,Guinea,"Strengthen the country's capacity in terms of legislation for the implementation of the IHR, through the establishment of a working group of lawyers from relevant ministries and partners for the elaboration or adoption of texts to popularize."
p1,"National legislation, Policy and Financing",GIN,Guinea,Set up a strategy for a national budget line for financing the implementation of RSI.
p1,"National legislation, Policy and Financing",GIN,Guinea,Formalize regular monthly or quarterly or ad hoc cross-border meetings (even in lull) with all stakeholders and neighboring countries.
p2,"IHR Coordination, Communication and Advocacy",GIN,Guinea,Accelerate the formalization and validation of NOMs (Standard Operating Procedures) and existing multi-sectoral collaboration procedures for coordinating PFNRSI with other sectors.
p2,"IHR Coordination, Communication and Advocacy",GIN,Guinea,"Mobilize and guarantee the necessary resources (including financial resources) for the proper functioning of the PFNRSI, in order to guarantee a timely sharing of information between the different sectors."
p2,"IHR Coordination, Communication and Advocacy",GIN,Guinea,"Proceed with the signing of the draft ""one health"" decree and implement the project through the formation of a multisectoral and multidisciplinary committee meeting the requirements of the IHR"
p2,"IHR Coordination, Communication and Advocacy",GIN,Guinea,Prepare and form the multisectoral and multidisciplinary committee on surveillance and response to public health emergencies.
p3,Antimicrobial Resistance,GIN,Guinea,"Develop and validate an integrated multisectoral national plan for prevention, surveillance and response to antimicrobial resistance and healthcare-associated infections."
p3,Antimicrobial Resistance,GIN,Guinea,Strengthen the laboratory diagnostic capabilities of antimicrobial resistant pathogens
p3,Antimicrobial Resistance,GIN,Guinea,Strengthen the capacities of health actors in the fight against nosocomial infections.
p4,Zoonotic Disease,GIN,Guinea,"Adapt regulation to better support surveillance and response to zoonoses under the ""one health"" approach."
p4,Zoonotic Disease,GIN,Guinea,"Strengthen multisectoral coordination and collaboration of animal health, human health and wildlife actors."
p4,Zoonotic Disease,GIN,Guinea,"Strengthen the capacity of actors in the implementation of the ""one health"" approach."
p5,Food Safety,GIN,Guinea,Establish a mechanism to detect and respond to foodborne illness and food contamination.
p5,Food Safety,GIN,Guinea,Organize a surveillance system for food safety.
p6,Biosafety and Biosecurity,GIN,Guinea,"Develop and implement legislative and regulatory texts, standards and guidelines to strengthen national capacities in biosafety and biosecurity."
p6,Biosafety and Biosecurity,GIN,Guinea,Set up joint training courses in biosafety and biosafety.
p7,Immunization,GIN,Guinea,"Strengthen intersectoral collaboration (Ministers of Health, Livestock and Agriculture) in the field of human and animal vaccination through the pooling of interventions at all levels."
p7,Immunization,GIN,Guinea,Strengthen the implementation of the ACD / ACE approach (reaching each district / reaching every child) for the revival of routine immunization.
p7,Immunization,GIN,Guinea,Promote advocacy initiatives for mobilizing domestic / local resources for immunization.
d1,National Laboratory System,GIN,Guinea,Establish a multidisciplinary technical group to reflect on the development of a national laboratory policy and strategy.
d1,National Laboratory System,GIN,Guinea,Establish a harmonized and functional system for the secure delivery of samples from the peripheral level to the central level.
d1,National Laboratory System,GIN,Guinea,Strengthen LNERV's capacity to detect priority zoonoses.
d2,Real Time Surveillance,GIN,Guinea,Strengthen the multisectoral surveillance system at the community level.
d2,Real Time Surveillance,GIN,Guinea,Strengthen the integration of hospitals and the private sector into the surveillance system.
d2,Real Time Surveillance,GIN,Guinea,"Set up an event monitoring system with efficient signal sorting, validation and dissemination mechanisms."
d2,Real Time Surveillance,GIN,Guinea,Strengthen the implementation and use of DHIS2 at the operational level.
d2,Real Time Surveillance,GIN,Guinea,"Strengthen the real-time sharing of useful epidemiological information, based on a list of identified common priority zoonoses, between the human health and animal health sectors."
d3,Reporting,GIN,Guinea,Conduct an overall assessment of potential public health emergencies within a multisectoral consultation framework.
d3,Reporting,GIN,Guinea,Establish procedures or mechanisms for collaboration and information-sharing between different sectors to improve the timeliness of notification to WHO of any public health emergency.
d3,Reporting,GIN,Guinea,Develop standard and integrated operating procedures for the approval and notification of a potential public health emergency based on Annex 2 of the IHR.
d4,Workforce Development,GIN,Guinea,"Implement human resource development plans for animal health and other relevant sectors for the IHR, and update the human resources development plan for public health."
d4,Workforce Development,GIN,Guinea,Sustain the national FETP program by including all relevant sectors.
d4,Workforce Development,GIN,Guinea,Set up a device and career plan to keep staff in difficult areas.
r1,Preparedness,GIN,Guinea,Establish a multi-sectoral management authority for the development of the multi-hazard plan.
r1,Preparedness,GIN,Guinea,"Develop, validate and test the national contingency plan for preparing and responding to public health emergencies."
r1,Preparedness,GIN,Guinea,Conduct a mapping of resources and update the mapping of public health risks.
r2,Emergency Response Operations,GIN,Guinea,Develop a multisectoral emergency response plan.
r2,Emergency Response Operations,GIN,Guinea,Guarantee a long-term financing mechanism for the ANSS and the COU with the state and partners to ensure in particular the training and exercise policy.
r2,Emergency Response Operations,GIN,Guinea,"Develop the necessary procedures for the functioning of the EOC and its response capacity to emergencies of human, animal and environmental origin."
r3,Linking Public Health and Security Authorities,GIN,Guinea,Establish a formal multisectoral collaboration framework.
r3,Linking Public Health and Security Authorities,GIN,Guinea,Establish procedures to ensure multisectoral collaboration.
r4,Medical Countermeasures and Personnel Deployment,GIN,Guinea,"Develop and validate a multisectoral national contingency plan for sending and receiving medical devices in the territory, including regulatory, logistical and security dimensions."
r4,Medical Countermeasures and Personnel Deployment,GIN,Guinea,Develop a strategic plan to ensure a pool of medical facilities in the event of a public health emergency and ensure storage at the central and regional level.
r4,Medical Countermeasures and Personnel Deployment,GIN,Guinea,"In collaboration with the EOC, develop procedures for the dispatch of health personnel in the event of a health emergency including the reception of international support staff."
r4,Medical Countermeasures and Personnel Deployment,GIN,Guinea,Develop a partnership with regional and international networks to contribute to development and capacity-building initiatives at the regional and international levels.
r5,Risk Communication,GIN,Guinea,Develop a national multisectoral communication plan on public health risks.
r5,Risk Communication,GIN,Guinea,Formalize multisectoral framework for risk coordination and communication.
r5,Risk Communication,GIN,Guinea,"Develop, validate and apply protocols and procedures on rumor management."
poe,Points of Entry,GIN,Guinea,"Finalize the analysis of entry points in accordance with Annex 1, B.1.a of the IHR for the designation of official RSI entry points."
poe,Points of Entry,GIN,Guinea,Develop integrated emergency response plans to respond to public health emergencies at ports of entry.
poe,Points of Entry,GIN,Guinea,Improve health infrastructure and equipment at official entry point levels.
ce,Chemical Emergencies,GIN,Guinea,Establish a formal multisectoral collaboration framework for chemical risk and event management.
ce,Chemical Emergencies,GIN,Guinea,Establish a multi-sector plan for monitoring and managing chemical events.
ce,Chemical Emergencies,GIN,Guinea,"Set up a surveillance system for chemical events, poisoning and poisoning."
re,Radiation Emergencies,GIN,Guinea,Establish a formal multisectoral collaboration framework for radiological and nuclear risk management.
re,Radiation Emergencies,GIN,Guinea,"Put in place regulations on the monitoring, prevention and management of events of radiological and nuclear origin."
re,Radiation Emergencies,GIN,Guinea,Develop a national action plan for radiological and nuclear emergency management.
p1,"National legislation, Policy and Financing",MLI,Mali,Organize an intersectoral meeting to finalize the inventory of legislation and approve the texts for the implementation of the IHR (2005).
p1,"National legislation, Policy and Financing",MLI,Mali,Conduct an overall assessment and in-depth review of the legislative and regulatory texts of the sectors concerned by the implementation of the IHR (2005).
p1,"National legislation, Policy and Financing",MLI,Mali,Develop the texts needed to implement the IHR (2005) in consultation with all sectors concerned and monitor their implementation.
p1,"National legislation, Policy and Financing",MLI,Mali,Implement legislation and policies in all sectors.
p2,"IHR Coordination, Communication and Advocacy",MLI,Mali,Appoint the members of PFNRSI by law (interministerial decree or decree).
p2,"IHR Coordination, Communication and Advocacy",MLI,Mali,Train members of PFNRSI and other authorities on the IHR (2005) and the main functions of PFNRSI.
p2,"IHR Coordination, Communication and Advocacy",MLI,Mali,"Jointly develop SOPs (Operating Protocols) to facilitate coordination, communication and promotion of the IHR (2005) in Mali."
p2,"IHR Coordination, Communication and Advocacy",MLI,Mali,Establish an operational exchange platform to institutionalize the One Health approach at the different levels of the health system.
p2,"IHR Coordination, Communication and Advocacy",MLI,Mali,Conduct regular simulation exercises to test the coordination capabilities of PFNRSI.
p3,Antimicrobial Resistance,MLI,Mali,"Develop and implement a comprehensive national plan for the detection and reporting of priority antimicrobial resistant pathogens, covering human and animal health, agriculture, food and the environment as part of the only health ""."
p3,Antimicrobial Resistance,MLI,Mali,Implement RAM capacity building plan and laboratory capacity.
p3,Antimicrobial Resistance,MLI,Mali,Develop and implement a national antimicrobial stewardship plan.
p3,Antimicrobial Resistance,MLI,Mali,Put in place organizational measures (nosocomial infection control committees) to reduce nosocomial infections at all levels.
p3,Antimicrobial Resistance,MLI,Mali,Develop an information and awareness program on AMR in the different sectors.
p4,Zoonotic Disease,MLI,Mali,"Finalize and validate the ""National integrated plan for the fight against zoonoses in Mali"" taking into account the identified priority zoonoses."
p4,Zoonotic Disease,MLI,Mali,Strengthen the network of national territory in the field of animal health: expand animal health services by assigning at least two agents per veterinary post.
p4,Zoonotic Disease,MLI,Mali,"Ensure the functionality of the Epivet-Mali network, notably by strengthening the material and financial resources."
p4,Zoonotic Disease,MLI,Mali,Put in place an integrated consultation framework involving all stakeholders in the fight against major zoonoses.
p5,Food Safety,MLI,Mali,"Establish a formal mechanism for coordination of food safety control activities, accompanied by a coordinated response plan."
p5,Food Safety,MLI,Mali,"Design, validate and disseminate tools for notification and investigation (POS) of cases of foodborne illness."
p5,Food Safety,MLI,Mali,"Within the framework of the coordination of public health laboratories, integrate the need for capacity building for food analysis: to study the opportunity of creating a dedicated laboratory within ANSSA, or to complete and organize the network of existing laboratories (especially for drug residues)."
p5,Food Safety,MLI,Mali,Set up a fixed team of effective surveillance.
p5,Food Safety,MLI,Mali,Conduct an assessment of the health risks associated with staple foods in Mali.
p6,Biosafety and Biosecurity,MLI,Mali,Provide the country with appropriate legislation for biological safety and security.
p6,Biosafety and Biosecurity,MLI,Mali,"Maintain an up-to-date registry and inventory of pathogens in structures that store or handle pathogens, toxins or other hazardous substances."
p6,Biosafety and Biosecurity,MLI,Mali,Develop and implement a national multisectoral training and education program on biosafety and biosecurity.
p6,Biosafety and Biosecurity,MLI,Mali,Establish a national program for external and internal biological risk assessment
p7,Immunization,MLI,Mali,"Develop and implement a national EPI enhancement plan (fixed, advanced and mobile strategies, cold chain maintenance plan) in all health districts of the country to increase measles immunization coverage in children under 10 years of age 12 months and go from 72.9% to 95% at least."
p7,Immunization,MLI,Mali,"Establish coordination with the animal sector in the development of strategic plans (multi-year comprehensive plan, etc.) to expand the delivery of vaccines to zoonoses."
p7,Immunization,MLI,Mali,Develop an advocacy strategy with the state and technical and financial partners so that the cold chain is available in at least 60% of the structures.
d1,National Laboratory System,MLI,Mali,"Strengthen the EPI at all levels (central, intermediate and peripheral) with sufficiently competent human resources."
d1,National Laboratory System,MLI,Mali,Establish a regular supply mechanism for laboratory inputs throughout the country.
d1,National Laboratory System,MLI,Mali,Establish a mechanism for collaboration between laboratories involved in the diagnosis of diseases with epidemic potential by integrating laboratories from other sectors.
d1,National Laboratory System,MLI,Mali,Improve the system of transfer and transport of samples throughout the national territory as well as abroad.
d1,National Laboratory System,MLI,Mali,Develop and implement a laboratory equipment maintenance plan and a national quality assurance program for laboratories in different sectors.
d2,Real Time Surveillance,MLI,Mali,"Strengthen the implementation of the interoperable and interconnected notification system at the multisectoral level, respecting the One Health approach."
d2,Real Time Surveillance,MLI,Mali,Put in place event-based monitoring at all levels including the community level.
d2,Real Time Surveillance,MLI,Mali,Strengthen capacity in data management and analysis at all levels (intervention epidemiology training) and implement the IDSR strategic plan and disseminate the guide at all levels.
d3,Reporting,MLI,Mali,Put in place a coordination mechanism between the RSI Focal Point and the other sectors.
d3,Reporting,MLI,Mali,Develop regulations and multisectoral notification procedures.
d3,Reporting,MLI,Mali,Develop and implement simulation exercise programs to improve reporting and collaboration between relevant sectors.
d4,Workforce Development,MLI,Mali,"Develop and implement a comprehensive human resource development strategy that addresses the human, animal and environmental health sectors."
d4,Workforce Development,MLI,Mali,"Strengthen the capacity of actors in field epidemiology (basic, intermediate and advanced capacity) at all levels."
r1,Preparedness,MLI,Mali,"Finalize, validate and implement a multi-sector national public health emergency preparedness and response plan to ensure the core capacity required under the IHR (2005)."
r1,Preparedness,MLI,Mali,"Complete mapping of national resources (human, logistical, financial, etc.) for IHR hazards (2005) and priority risks to develop a national resource management and distribution plan."
r1,Preparedness,MLI,Mali,Organize regular simulation exercises to test the plans developed.
r1,Preparedness,MLI,Mali,Strengthen the availability of inputs and medicines at the level of structures responsible for the management of health emergencies.
r2,Emergency Response Operations,MLI,Mali,Develop and implement emergency operational procedures and plans.
r2,Emergency Response Operations,MLI,Mali,"Develop and implement a capacity building plan for emergency responders at all levels (multisectoral, central and decentralized)."
r2,Emergency Response Operations,MLI,Mali,Develop and implement a simulation exercise program.
r2,Emergency Response Operations,MLI,Mali,Finalize the process of the regulatory framework for the creation of the DOU-SP allowing among other things the definition of a formal mechanism of collaboration and coordination with the services or key directions and the sectors concerned by the management of health emergencies.
r2,Emergency Response Operations,MLI,Mali,"Develop and implement a resource mobilization plan (human, material and financial) for the benefit of the DOU-SP."
r3,Linking Public Health and Security Authorities,MLI,Mali,Develop and implement a memorandum of understanding or other agreement (protocol) between the public health sector and the national security authorities.
r3,Linking Public Health and Security Authorities,MLI,Mali,Establish a framework for collaboration and consultation between the public health sector and the authorities responsible for national security.
r3,Linking Public Health and Security Authorities,MLI,Mali,Organize simulation exercises.
r4,Medical Countermeasures and Personnel Deployment,MLI,Mali,Develop an integrated plan for sending and receiving medical devices during a public health emergency in human and animal health.
r4,Medical Countermeasures and Personnel Deployment,MLI,Mali,Strengthen the training of the personnel assigned to the reception and the sending of the medical means.
r4,Medical Countermeasures and Personnel Deployment,MLI,Mali,Develop and implement a multisectoral staff deployment plan during a public health emergency (including staffing).
r5,Risk Communication,MLI,Mali,Establish a multisectoral risk communication coordination framework.
r5,Risk Communication,MLI,Mali,Develop a national risk communication plan based on existing communication plans in the health sector and other sectors.
r5,Risk Communication,MLI,Mali,"Develop and disseminate manuals for risk communication procedures, including a manual of rumor management procedures."
r5,Risk Communication,MLI,Mali,Develop and implement a capacity building plan for communication stakeholders identified from multisectoral and multi-level human resources mapping.
